dataset,cifar10,
model,resnet18,
batch_size,128,
epochs,150,
learning_rate,0.1,
data_augmentation,TRUE,
cutout,Cutout_Shape,
shape,square,
n_holes,1,
length,16,
no_cuda,FALSE,
seed,0,
cuda,TRUE,
,,
epoch,train_acc,test_acc
0,0.25874,0.3727
1,0.38964,0.4735
2,0.4624,0.4893
3,0.54044,0.625
4,0.59696,0.5818
5,0.63644,0.6235
6,0.66704,0.71
7,0.69484,0.7391
8,0.71974,0.713
9,0.73882,0.7622
10,0.74832,0.7855
11,0.75968,0.7544
12,0.76768,0.6876
13,0.77726,0.7979
14,0.78438,0.8121
15,0.78486,0.7417
16,0.79166,0.8005
17,0.79726,0.7463
18,0.80134,0.7796
19,0.80246,0.7732
20,0.80448,0.812
21,0.80796,0.7959
22,0.81018,0.8104
23,0.81264,0.8038
24,0.81518,0.7918
25,0.81484,0.8492
26,0.81876,0.8206
27,0.819,0.7991
28,0.8196,0.8053
29,0.81782,0.8033
30,0.81902,0.8441
31,0.82164,0.7663
32,0.82314,0.8306
33,0.82564,0.8333
34,0.8245,0.8112
35,0.82554,0.8547
36,0.82592,0.7729
37,0.82632,0.8277
38,0.82538,0.8172
39,0.82762,0.8505
40,0.82874,0.7936
41,0.83068,0.8238
42,0.83176,0.8328
43,0.82868,0.859
44,0.82918,0.8058
45,0.83264,0.8224
46,0.82996,0.7511
47,0.83022,0.8486
48,0.83246,0.7811
49,0.8338,0.8425
50,0.8331,0.8496
51,0.83232,0.8271
52,0.8349,0.8213
53,0.83374,0.8167
54,0.83478,0.8524
55,0.835,0.7978
56,0.83516,0.8168
57,0.83458,0.7801
58,0.83212,0.838
59,0.83568,0.853
60,0.83574,0.8304
61,0.89084,0.9251
62,0.90872,0.9244
63,0.9136,0.9275
64,0.9139,0.9287
65,0.91794,0.9258
66,0.91894,0.9259
67,0.92066,0.9232
68,0.91828,0.9302
69,0.91984,0.9229
70,0.92098,0.9277
71,0.92022,0.9244
72,0.92082,0.9258
73,0.92046,0.9106
74,0.91908,0.9247
75,0.9199,0.9257
76,0.91908,0.9279
77,0.91794,0.9128
78,0.91976,0.9196
79,0.91728,0.9189
80,0.91948,0.9177
81,0.92068,0.9214
82,0.91806,0.9205
83,0.91988,0.9256
84,0.9203,0.9172
85,0.92068,0.9187
86,0.92014,0.9177
87,0.92042,0.9214
88,0.92,0.9246
89,0.9222,0.9235
90,0.92012,0.9299
91,0.9229,0.9098
92,0.92214,0.9246
93,0.92386,0.9193
94,0.92112,0.9163
95,0.9229,0.9168
96,0.92384,0.9243
97,0.92248,0.9142
98,0.92444,0.9181
99,0.92514,0.9217
100,0.92372,0.9236
101,0.92608,0.9219
102,0.92306,0.9156
103,0.9248,0.9239
104,0.92528,0.9243
105,0.92688,0.9156
106,0.92628,0.9086
107,0.92542,0.9203
108,0.92482,0.9178
109,0.9245,0.9201
110,0.9258,0.925
111,0.92766,0.9164
112,0.92838,0.9285
113,0.92726,0.919
114,0.9281,0.9266
115,0.92936,0.9162
116,0.92706,0.9153
117,0.92894,0.9219
118,0.92696,0.9256
119,0.92922,0.9224
120,0.92794,0.9203
121,0.95492,0.9493
122,0.96566,0.9489
123,0.96696,0.9524
124,0.96958,0.9524
125,0.97084,0.9517
126,0.97062,0.9527
127,0.97402,0.9555
128,0.97426,0.9525
129,0.974,0.9513
130,0.97464,0.9535
131,0.97474,0.9529
132,0.97578,0.9523
133,0.97616,0.9546
134,0.9772,0.9558
135,0.97698,0.9541
136,0.97778,0.9538
137,0.97792,0.9513
138,0.97652,0.9529
139,0.97832,0.9559
140,0.97908,0.9562
141,0.97886,0.953
142,0.97886,0.9529
143,0.97878,0.9529
144,0.97856,0.9521
145,0.97788,0.9539
146,0.97946,0.9518
147,0.9795,0.9538
148,0.97746,0.9508
149,0.98024,0.9542
