dataset,cifar10
model,resnet18
batch_size,128
epochs,150
learning_rate,0.1
data_augmentation,True
cutout,Cutout_Shape
shape,square
n_holes,1
length,16
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.23668,0.3452
1,0.3747,0.4313
2,0.45612,0.4649
3,0.51564,0.5756
4,0.56286,0.5932
5,0.59308,0.5739
6,0.6188,0.6011
7,0.6386,0.6114
8,0.65466,0.6513
9,0.66668,0.6035
10,0.67402,0.6774
11,0.68284,0.7094
12,0.69544,0.7105
13,0.70392,0.6893
14,0.71464,0.7295
15,0.72302,0.7132
16,0.72854,0.7212
17,0.73264,0.725
18,0.73902,0.7333
19,0.74262,0.6844
20,0.74594,0.7596
21,0.75184,0.7446
22,0.75236,0.7355
23,0.75358,0.6938
24,0.75804,0.7014
25,0.75792,0.7451
26,0.7618,0.725
27,0.76388,0.7708
28,0.7655,0.7315
29,0.7699,0.7211
30,0.76826,0.7412
31,0.7717,0.7764
32,0.77174,0.754
33,0.7722,0.7515
34,0.776,0.7712
35,0.77592,0.723
36,0.77698,0.7529
37,0.77622,0.7272
38,0.77776,0.782
39,0.77894,0.7723
40,0.78136,0.7747
41,0.7814,0.7792
42,0.7816,0.785
43,0.78278,0.7901
44,0.78128,0.7973
45,0.7836,0.7739
46,0.78456,0.7444
47,0.78712,0.8128
48,0.7849,0.7579
49,0.78758,0.7998
50,0.7865,0.7913
51,0.78632,0.7683
52,0.78798,0.8078
53,0.78836,0.7656
54,0.78594,0.7158
55,0.79022,0.7476
56,0.79116,0.7328
57,0.78886,0.7493
58,0.79118,0.8056
59,0.78968,0.7714
60,0.7873,0.7819
61,0.85154,0.8822
62,0.86942,0.8933
63,0.87578,0.899
64,0.87984,0.9031
65,0.88008,0.8985
66,0.88214,0.8885
67,0.88226,0.8884
68,0.88158,0.8969
69,0.88516,0.8997
70,0.88296,0.9059
71,0.88468,0.895
72,0.88432,0.8902
73,0.88302,0.8897
74,0.8839,0.8916
75,0.88368,0.888
76,0.88328,0.8907
77,0.88488,0.8644
78,0.88266,0.8978
79,0.88282,0.9027
80,0.88346,0.8938
81,0.88404,0.8905
82,0.88408,0.892
83,0.88444,0.8943
84,0.88366,0.8912
85,0.88556,0.8835
86,0.88636,0.872
87,0.88206,0.8906
88,0.8872,0.9014
89,0.88576,0.8948
90,0.88752,0.8923
91,0.88486,0.8922
92,0.88598,0.9023
93,0.88912,0.8947
94,0.8875,0.8758
95,0.88948,0.8862
96,0.8891,0.8889
97,0.88946,0.889
98,0.88536,0.8851
99,0.8878,0.9069
100,0.89078,0.8908
101,0.8913,0.9014
102,0.89122,0.888
103,0.88804,0.8762
104,0.89128,0.9044
105,0.89166,0.8905
106,0.88918,0.8978
107,0.89026,0.9052
108,0.8939,0.8982
109,0.89132,0.9025
110,0.89266,0.8925
111,0.89302,0.8873
112,0.89162,0.8961
113,0.89096,0.8657
114,0.89314,0.908
115,0.89384,0.8984
116,0.8945,0.9057
117,0.89156,0.8984
118,0.89444,0.8943
119,0.89432,0.9038
120,0.89536,0.8899
121,0.92422,0.9344
122,0.93632,0.9376
123,0.941,0.9386
124,0.94122,0.9402
125,0.94324,0.9408
126,0.94738,0.9394
127,0.94788,0.9394
128,0.94954,0.9398
129,0.95036,0.9418
130,0.95034,0.9407
131,0.9513,0.9422
132,0.95148,0.9381
133,0.95222,0.9394
134,0.95308,0.9417
135,0.95242,0.9435
136,0.95562,0.9417
137,0.95322,0.939
138,0.95548,0.9432
139,0.95556,0.9398
140,0.9553,0.9412
141,0.95632,0.9421
142,0.9561,0.941
143,0.95696,0.9395
144,0.95756,0.9409
145,0.9564,0.9372
146,0.95868,0.9393
147,0.9575,0.9401
148,0.959,0.9357
149,0.95866,0.9424
